Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
1,1,15,The One Where Monica Gets a Roommate: The Pilot,47,Monica and the gang introduce Rachel to the real world after she leaves her fiancé at the altar.,James Burrows,8.3
1,2,11,The One with the Sonogram at the End,36,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,James Burrows,8.1
1,3,14,The One with the Thumb,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,James Burrows,8.2
1,4,16,The One with George Stephanopoulos,34,Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol while the girls become depressed when they realize they don't have a plan.,James Burrows,8.1
1,5,16,The One with the East German Laundry Detergent,46,Eager to spend time with Rachel Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile Joey has Monica pose as his girlfriend and Chandler struggles to break up with his girlfriend.,Pamela Fryman,8.5
1,6,9,The One with the Butt,21,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Arlene Sanford,8.1
1,7,21,The One with the Blackout,25,When New York suffers from a blackout Ross tries to tell Rachel that he likes her and Chandler gets stuck in an ATM vestibule with a model.,James Burrows,9.0
1,8,13,The One Where Nana Dies Twice,29,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,James Burrows,8.1
1,9,13,The One Where Underdog Gets Away,32,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,James Burrows,8.2
1,10,8,The One with the Monkey,23,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Peter Bonerz,8.1
1,11,12,The One with Mrs. Bing,22,Chandler's flamboyant romance-novelist mother comes to visit and Joey catches her kissing Ross. Meanwhile Monica and Phoebe fight over a guy in a coma.,James Burrows,8.2
1,12,15,The One with the Dozen Lasagnas,31,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,Paul Lazarus,8.2
1,13,13,The One with the Boobies,24,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alan Myerson,8.7
1,14,17,The One with the Candy Hearts,29,As Valentine's Day approaches Ross and his date end up at the same restaurant as Carol and Susan. Joey inadvertently sets Chandler up on a blind date with Janice and the girls burn mementos of their old boyfriends.,James Burrows,8.3
1,15,14,The One with the Stoned Guy,27,Monica cooks a gourmet meal for a restaurateur who is looking for a new chef however he arrives at the apartment stoned. Meanwhile Ross tries to master dirty talk.,Alan Myerson,8.2
1,16,16,The One with Two Parts: Part 1,30,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Michael Lembeck,8.2
1,17,14,The One with Two Parts: Part 2,30,Rachel switches identities with Monica so she can use her health insurance. Meanwhile Ursula continues to come between Phoebe and Joey.,Michael Lembeck,8.5
1,18,8,The One with All the Poker,26,As Rachel interviews for a new job the girls take on the guys in a game of poker.,James Burrows,8.8
1,19,9,The One Where the Monkey Gets Away,34,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,Peter Bonerz,8.1
1,20,12,The One with the Evil Orthodontist,34,Rachel and Barry start dating again despite the fact that he's now engaged to Mindy. Chandler goes nuts when a woman he likes won't return his phone calls.,Peter Bonerz,7.9
1,21,15,The One with the Fake Monica,28,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,Gail Mancuso,7.9
1,22,13,The One with the Ick Factor,27,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,Robby Benson,8.3
1,23,21,The One with the Birth,22,As Carol goes into labor Ross and Susan argue. Rachel flirts with Carol's doctor and Joey assists a pregnant single mother.,James Burrows,8.7
1,24,11,The One Where Rachel Finds Out,30,As Ross leaves for China Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.,Kevin Bright,8.9
2,1,12,The One with Ross's New Girlfriend,34,Rachel waits for Ross at the airport unaware he has a new girlfriend. Meanwhile Chandler has a frightening experience with Joey's tailor and Phoebe gives Monica a bad haircut.,Michael Lembeck,8.5
2,2,14,The One with the Breast Milk,28,Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job Joey competes with a fellow cologne spritzer.,Michael Lembeck,8.2
2,3,11,The One Where Heckles Dies,26,After Mr. Heckles dies and leaves all his belongings to Monica and Rachel Chandler worries he will die alone just like him. Meanwhile Phoebe and Ross argue over evolution.,Kevin Bright,8.4
2,4,12,The One with Phoebe's Husband,29,When the gang find out Phoebe married a gay Canadian ice dancer for a green card more of their secrets are revealed. Meanwhile Rachel gives Ross bad advice on his relationship with Julie.,Gail Mancuso,8.0
2,5,7,The One with Five Steaks and an Eggplant,40,The gang are divided by income issues: Monica Ross and Chandler have money and Rachel Phoebe and Joey don't.,Ellen Gittelsohn,8.3
2,6,6,The One with the Baby on the Bus,32,Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile Phoebe loses her singing gig at Central Perk to a professional singer.,Gail Mancuso,8.6
2,7,12,The One Where Ross Finds Out,28,A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.,Peter Bonerz,9.0
2,8,13,The One with the List,21,With help from Chandler and Joey Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile Monica gets a job making dessert with a disgusting synthetic chocolate substitute.,Mary Kay Place,8.5
2,9,12,The One with Phoebe's Dad,25,Phoebe tracks down her father but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.,Kevin Bright,8.0
2,10,9,The One with Russ,17,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Thomas Schlamme,8.0
2,11,11,The One with the Lesbian Wedding,32,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Thomas Schlamme,8.1
2,12,15,The One After the Superbowl: Part 1,35,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,Michael Lembeck,8.6
2,13,13,The One After the Superbowl: Part 2,35,Ross finds Marcel on the set of a new movie where Chandler bumps into a former schoolmate. Meanwhile Rachel and Monica compete for the affections of Jean-Claude Van Damme.,Michael Lembeck,8.8
2,14,11,The One with the Prom Video,27,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,James Burrows,9.4
2,15,15,The One Where Ross and Rachel... You Know,41,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Michael Lembeck,8.9
2,16,16,The One Where Joey Moves Out,28,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Michael Lembeck,8.6
2,17,15,The One Where Eddie Moves In,28,Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song 'Smelly Cat'. Ross and Monica clash when he is always at her and Rachel's apartment.,Michael Lembeck,8.3
2,18,15,The One Where Dr. Ramoray Dies,30,Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior while Ross and Rachel compare their past lovers as do Richard and Monica.,Michael Lembeck,8.5
2,19,15,The One Where Eddie Won't Go,28,Chandler demands that Eddie move out however he doesn't seem to get the message. Meanwhile a book on empowerment for women inspires the girls. In order to pay his bills Ross convinces Joey to audition for a role he doesn't want.,Michael Lembeck,8.6
2,20,11,The One Where Old Yeller Dies,29,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Michael Lembeck,8.2
2,21,13,The One with the Bullies,24,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Michael Lembeck,8.2
2,22,8,The One with the Two Parties,28,Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party so the gang has to find ways to keep her parents separated otherwise they'll start fighting.,Michael Lembeck,9.0
2,23,14,The One with the Chicken Pox,28,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Michael Lembeck,8.1
2,24,13,The One with Barry and Mindy's Wedding,38,Rachel reluctantly agrees to be maid of honor at her ex-fiancÃ© Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Michael Lembeck,8.2
3,1,14,The One with the Princess Leia Fantasy,38,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Gail Mancuso,8.4
3,2,4,The One Where No One's Ready,28,A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum while Joey and Chandler clash over personal belongings and personal space.,Gail Mancuso,9.0
3,3,12,The One with the Jam,20,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Kevin Bright,8.1
3,4,12,The One with the Metaphorical Tunnel,36,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Steve Zuckerman,8.1
3,5,15,The One with Frank Jr.,22,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Steve Zuckerman,8.1
3,6,16,The One with the Flashback,26,The gang remember the events three years ago when several of them almost slept together.,Peter Bonerz,9.1
3,7,17,The One with the Race Car Bed,29,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,Gail Mancuso,8.3
3,8,13,The One with the Giant Poking Device,36,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Gail Mancuso,8.4
3,9,6,The One with the Football,25,Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of 'touch' football.,Kevin Bright,9.0
3,10,15,The One Where Rachel Quits,26,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Terry Hughes,8.1
3,11,14,The One Where Chandler Can't Remember Which Sister,50,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Terry Hughes,8.6
3,12,16,The One with All the Jealousy,29,Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.,Robby Benson,8.2
3,13,14,The One Where Monica and Richard Are Just Friends,49,Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a 'wardrobe malfunction'.,Robby Benson,8.2
3,14,19,The One with Phoebe's Ex-Partner,32,Phoebe is reunited with her former singing partner who thinks 'Smelly Cat' has hit potential. Chandler dates a woman with a prosthetic leg.,Robby Benson,7.9
3,15,17,The One Where Ross and Rachel Take a Break,42,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman. Phoebe's date needs an interpreter to communicate.,James Burrows,8.5
3,16,14,The One with the Morning After,30,Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.,James Burrows,9.1
3,17,11,The One Without the Ski Trip,28,Monica Chandler Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.,Sam Simon,8.3
3,18,16,The One with the Hypnosis Tape,30,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Robby Benson,8.4
3,19,16,The One with the Tiny T-Shirt,29,Rachel goes on her first date after splitting from Ross with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete even though she is still not attracted to him.,Terry Hughes,8.2
3,20,15,The One with the Dollhouse,26,Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with. Rachel regrets setting up Chandler with her boss Joanna.,Terry Hughes,8.1
3,21,16,The One with the Chick and the Duck,35,Joey buys a chick for him and Chandler. Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.,Michael Lembeck,8.7
3,22,13,The One with the Screamer,25,Ross witnesses Rachel's date screaming at people. Meanwhile Joey becomes upset when Kate is offered a job in Los Angeles. Phoebe refuses to hang up the phone when she is placed on hold by her phone company.,Peter Bonerz,8.3
3,23,15,The One with Ross's Thing,25,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys. Monica can't decide what to do about Pete when she thinks he is going to propose.,Shelley Jensen,8.1
3,24,15,The One with the Ultimate Fighting Champion,43,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,Robby Benson,8.1
3,25,13,The One at the Beach,20,While at the beach Phoebe meets a family friend with links to her past. Ross discovers that Rachel still loves him and must decide between her and Bonnie.,Pamela Fryman,8.9
4,1,14,The One with the Jellyfish,26,Ross chooses between Rachel and his bald-headed girlfriend Bonnie. Joey Chandler and Monica have a perilous encounter with a jellyfish at the beach.,Shelley Jensen,9.1
4,2,14,The One with the Cat,20,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,Shelley Jensen,8.1
4,3,16,The One with the 'Cuffs,23,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,Peter Bonerz,8.5
4,4,15,The One with the Ballroom Dancing,33,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,Gail Mancuso,8.2
4,5,16,The One with Joey's New Girlfriend,34,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,Gail Mancuso,8.4
4,6,13,The One with the Dirty Girl,27,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,Shelley Jensen,8.5
4,7,11,The One Where Chandler Crosses the Line,39,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,Kevin Bright,8.7
4,8,9,The One with Chandler in a Box,30,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,Peter Bonerz,9.1
4,9,14,The One Where They're Going to Party!,37,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,Peter Bonerz,7.9
4,10,16,The One with the Girl from Poughkeepsie,39,In order for her kitchen staff to acknowledge her authority Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.,Gary Halvorson,8.1
4,11,11,The One with Phoebe's Uterus,28,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,David Steinberg,8.5
4,12,10,The One with the Embryos,24,Phoebe's uterus is examined for implantation of the embryos. Meanwhile a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.,Kevin Bright,9.5
4,13,13,The One with Rachel's Crush,27,After seeing Kathy's play Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.,Dana De Vally Piazza,8.2
4,14,11,The One with Joey's Dirty Day,29,Joey arrives on the set of his latest movie unwashed after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.,Peter Bonerz,8.2
4,15,14,The One with All the Rugby,26,Chandler runs into Janice and finds her more irritating than ever and creates an elaborate plan to break up with her. meanwhile Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.,James Burrows,8.5
4,16,7,The One with the Fake Party,27,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,Michael Lembeck,8.2
4,17,13,The One with the Free Porn,26,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,Michael Lembeck,8.6
4,18,13,The One with Rachel's New Dress,31,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,Gail Mancuso,8.3
4,19,8,The One with All the Haste,26,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,Kevin Bright,8.7
4,20,13,The One with All the Wedding Dresses,36,Monica tries on Emily's wedding dress and can't stop wearing it. Jealous of Ross's proposal to Emily Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.,Gail Mancuso,8.5
4,21,29,The One with the Invitation,27,As Ross and Emily send out wedding invitations he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.,Peter Bonerz,7.2
4,22,16,The One with the Worst Best Man Ever,36,At first Ross chooses Joey to be his best man but after a mishap at his bachelor party he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.,Peter Bonerz,8.5
4,23,15,The One with Ross's Wedding,27,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding while someone else unexpectedly shows up to the wedding.,Kevin Bright,8.7
4,24,26,The One with Ross's Wedding,27,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,Kevin Bright,9.2
5,1,9,The One After Ross Says Rachel,30,A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile Chandler and Monica struggle to get time alone together.,Kevin Bright,8.9
5,2,10,The One with All the Kissing,28,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,Gary Halvorson,9.0
5,3,17,The One Hundredth,17,The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are 'just goofing around'. Joey gets treated for kidney stones.,Kevin Bright,8.8
5,4,14,The One Where Phoebe Hates PBS,30,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,Shelley Jensen,8.3
5,5,13,The One with the Kips,21,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,Dana De Vally Piazza,8.8
5,6,12,The One with the Yeti,21,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,Gary Halvorson,8.1
5,7,16,The One Where Ross Moves In,27,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,Gary Halvorson,8.4
5,8,15,The One with All the Thanksgivings,34,The gang remember and share with each other their worst Thanksgivings.,Kevin Bright,9.2
5,9,13,The One with Ross's Sandwich,28,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,Gary Halvorson,9.1
5,10,17,The One with the Inappropriate Sister,37,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,Dana De Vally Piazza,8.2
5,11,11,The One with All the Resolutions,32,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,Joe Regalbuto,9.1
5,12,15,The One with Chandler's Work Laugh,34,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,Kevin Bright,8.3
5,13,12,The One with Joey's Bag,23,Phoebe's grandmother dies and is shocked when her father turns up at the funeral. Meanwhile Rachel gives Joey a man's bag for an audition and Chandler is scared to tell Monica he doesn't like her massages.,Gail Mancuso,8.1
5,14,11,The One Where Everybody Finds Out,33,When Phoebe finds out about Monica and Chandler she and Rachel attempt to get them to confess their relationship.,Michael Lembeck,9.7
5,15,13,The One with the Girl Who Hits Joey,35,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,Kevin Bright,8.5
5,16,13,The One with the Cop,20,Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile Phoebe finds a police badge in Central Perk and Ross tries to get his new sofa into his apartment.,Andrew Tsao,8.6
5,17,16,The One with Rachel's Inadvertent Kiss,38,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,Shelley Jensen,8.5
5,18,14,The One Where Rachel Smokes,27,Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.,Todd Holland,8.0
5,19,6,The One Where Ross Can't Flirt,30,As Joey's grandmother visits to watch him on TV Ross has trouble flirting with the pizza delivery girl and Rachel tries to find an earring of Monica's that she has misplaced.,Gail Mancuso,8.7
5,20,12,The One with the Ride Along,27,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,Gary Halvorson,8.3
5,21,12,The One with the Ball,21,Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom. Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.,Gary Halvorson,8.5
5,22,12,The One with Joey's Big Break,29,Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross but doesn't know why.,Gary Halvorson,8.3
5,23,13,The One in Vegas: Part 1,24,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,Kevin Bright,8.8
5,24,15,The One in Vegas: Part 2,24,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,Kevin Bright,9.1
6,1,14,The One After Vegas,19,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,Kevin Bright,8.7
6,2,11,The One Where Ross Hugs Rachel,30,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,Gail Mancuso,8.2
6,3,14,The One with Ross's Denial,26,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,Gary Halvorson,8.2
6,4,18,The One Where Joey Loses His Insurance,38,Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students he puts on a fake English accent.,Gary Halvorson,8.5
6,5,13,The One with Joey's Porsche,27,Ross and Rachel try to get an annulment. Joey finds the keys to a porsche in Central Perk and Phoebe Monica and Chandler babysit the triplets.,Gary Halvorson,8.2
6,6,14,The One on the Last Night,25,On the last night before Chandler and Monica move in together Monica and Rachel argue and Chandler tries to give Joey money to help him pay the bills.,David Schwimmer,8.5
